source	destinations_disconnected_to
ATF6A	ULK4	RAI14
RL19	ULK4	RAI14
ST17B	ULK4	RAI14
ABL1	ULK4	RAI14
PHOP1	ULK4	RAI14
SC6A4	ULK4	RAI14
S22A6	ULK4	RAI14
GRIK2	ULK4	RAI14
ACM3	ULK4	RAI14
RYR1	ULK4	RAI14
S23IP	ULK4	RAI14
CRBN	ULK4	RAI14
MUTA	ULK4	RAI14
ARGI1	ULK4	RAI14
AA3R	ULK4	RAI14
GBRA5	ULK4	RAI14
CAH6	ULK4	RAI14
FAK1	ULK4	RAI14
SCNND	ULK4	RAI14
CASP8	ULK4	RAI14
SYRC	ULK4	RAI14
CP3A4	ULK4	RAI14
A4	ULK4	RAI14
MRP1	ULK4	RAI14
KCNN4	ULK4	RAI14
PDE7A	ULK4	RAI14
SCN4A	ULK4	RAI14
CACB1	ULK4	RAI14
DHI1	ULK4	RAI14
PDIA1	ULK4	RAI14
LRP2	ULK4	RAI14
ESR2	ULK4	RAI14
SCNNB	ULK4	RAI14
NMDE4	ULK4	RAI14
TY3H	ULK4	RAI14
SOAT1	ULK4	RAI14
NMD3A	ULK4	RAI14
ASM	ULK4	RAI14
S12A1	ULK4	RAI14
CP1A1	ULK4	RAI14
INSR2	ULK4	RAI14
NCOA1	ULK4	RAI14
TBE	ULK4	RAI14
ITAL	ULK4	RAI14
PPARG	ULK4	RAI14
GSK3B	ULK4	RAI14
CAC1I	ULK4	RAI14
THB	ULK4	RAI14
KLK3	ULK4	RAI14
GBRA2	ULK4	RAI14
TBB4B	ULK4	RAI14
DRD4	ULK4	RAI14
CLIC1	ULK4	RAI14
GBRE	ULK4	RAI14
RHOA	ULK4	RAI14
TERT	ULK4	RAI14
RL23A	ULK4	RAI14
KITH	ULK4	RAI14
HIF1A	ULK4	RAI14
TEBP	ULK4	RAI14
PERM	ULK4	RAI14
TYSY	ULK4	RAI14
PAR10	ULK4	RAI14
NNMT	ULK4	RAI14
RARB	ULK4	RAI14
PK3CG	ULK4	RAI14
CAC1C	ULK4	RAI14
PLPL9	ULK4	RAI14
OPRM	ULK4	RAI14
PLMN	ULK4	RAI14
ADA	ULK4	RAI14
TNNC1	ULK4	RAI14
J3KN87	ULK4	RAI14
GBRG2	ULK4	RAI14
FAD1	ULK4	RAI14
PDE1A	ULK4	RAI14
GLUC	ULK4	RAI14
EST1	ULK4	RAI14
P2RX2	ULK4	RAI14
NOS3	ULK4	RAI14
GSTP1	ULK4	RAI14
CAH7	ULK4	RAI14
IL6	ULK4	RAI14
UD13	ULK4	RAI14
PDE4A	ULK4	RAI14
CBPB2	ULK4	RAI14
KCJ11	ULK4	RAI14
SCN5A	ULK4	RAI14
CP21A	ULK4	RAI14
CFTR	ULK4	RAI14
ACM1	ULK4	RAI14
GRIA2	ULK4	RAI14
CPT2	ULK4	RAI14
COMT	ULK4	RAI14
P53	ULK4	RAI14
CNGA1	ULK4	RAI14
HDAC9	ULK4	RAI14
KCNQ1	ULK4	RAI14
PGH1	ULK4	RAI14
CP2R1	ULK4	RAI14
CAC1H	ULK4	RAI14
CAB45	ULK4	RAI14
CDK2	ULK4	RAI14
SC6A2	ULK4	RAI14
AK1C2	ULK4	RAI14
CA2D2	ULK4	RAI14
S22A8	ULK4	RAI14
EBP	ULK4	RAI14
NADC	ULK4	RAI14
5HT5A	ULK4	RAI14
AHR	ULK4	RAI14
HDAC6	ULK4	RAI14
MRP2	ULK4	RAI14
PDE4B	ULK4	RAI14
AA2AR	ULK4	RAI14
PDE7B	ULK4	RAI14
