source	destinations_disconnected_to
SCNNB	IFT46	REEP2
NMDE4	IFT46	REEP2
TY3H	IFT46	REEP2
SOAT1	IFT46	REEP2
NMD3A	IFT46	REEP2
ASM	IFT46	REEP2
S12A1	IFT46	REEP2
CP1A1	IFT46	REEP2
INSR2	IFT46	REEP2
NCOA1	IFT46	REEP2
TBE	IFT46	REEP2
ITAL	IFT46	REEP2
PPARG	IFT46	REEP2
GSK3B	IFT46	REEP2
CAC1I	IFT46	REEP2
THB	IFT46	REEP2
KLK3	IFT46	REEP2
GBRA2	IFT46	REEP2
TBB4B	IFT46	REEP2
DRD4	IFT46	REEP2
CLIC1	IFT46	REEP2
GBRE	IFT46	REEP2
RHOA	IFT46	REEP2
TERT	IFT46	REEP2
RL23A	IFT46	REEP2
KITH	IFT46	REEP2
HIF1A	IFT46	REEP2
TEBP	IFT46	REEP2
PERM	IFT46	REEP2
TYSY	IFT46	REEP2
PAR10	IFT46	REEP2
NNMT	IFT46	REEP2
RARB	IFT46	REEP2
PK3CG	IFT46	REEP2
CAC1C	IFT46	REEP2
PLPL9	IFT46	REEP2
OPRM	IFT46	REEP2
PLMN	IFT46	REEP2
ADA	IFT46	REEP2
TNNC1	IFT46	REEP2
J3KN87	IFT46	REEP2
GBRG2	IFT46	REEP2
FAD1	IFT46	REEP2
PDE1A	IFT46	REEP2
GLUC	IFT46	REEP2
EST1	IFT46	REEP2
P2RX2	IFT46	REEP2
NOS3	IFT46	REEP2
GSTP1	IFT46	REEP2
CAH7	IFT46	REEP2
IL6	IFT46	REEP2
UD13	IFT46	REEP2
PDE4A	IFT46	REEP2
CBPB2	IFT46	REEP2
KCJ11	IFT46	REEP2
SCN5A	IFT46	REEP2
CP21A	IFT46	REEP2
CFTR	IFT46	REEP2
ACM1	IFT46	REEP2
GRIA2	IFT46	REEP2
CPT2	IFT46	REEP2
COMT	IFT46	REEP2
P53	IFT46	REEP2
CNGA1	IFT46	REEP2
HDAC9	IFT46	REEP2
KCNQ1	IFT46	REEP2
PGH1	IFT46	REEP2
CP2R1	IFT46	REEP2
CAC1H	IFT46	REEP2
CAB45	IFT46	REEP2
CDK2	IFT46	REEP2
SC6A2	IFT46	REEP2
AK1C2	IFT46	REEP2
CA2D2	IFT46	REEP2
S22A8	IFT46	REEP2
EBP	IFT46	REEP2
NADC	IFT46	REEP2
5HT5A	IFT46	REEP2
AHR	IFT46	REEP2
HDAC6	IFT46	REEP2
MRP2	IFT46	REEP2
PDE4B	IFT46	REEP2
AA2AR	IFT46	REEP2
PDE7B	IFT46	REEP2
FAK2	IFT46	REEP2
CASP3	IFT46	REEP2
CATB	IFT46	REEP2
CAC1S	IFT46	REEP2
TA2R	IFT46	REEP2
TPMT	IFT46	REEP2
5HT1D	IFT46	REEP2
PIM1	IFT46	REEP2
AT1A1	IFT46	REEP2
MMP9	IFT46	REEP2
RL37	IFT46	REEP2
PARP1	IFT46	REEP2
RENR	IFT46	REEP2
ENPL	IFT46	REEP2
NR1I3	IFT46	REEP2
CAH1	IFT46	REEP2
SL9A7	IFT46	REEP2
ACM4	IFT46	REEP2
TOP1	IFT46	REEP2
DHB8	IFT46	REEP2
FABP6	IFT46	REEP2
GABR1	IFT46	REEP2
LY66C	IFT46	REEP2
GLNA	IFT46	REEP2
SCN1A	IFT46	REEP2
HDAC3	IFT46	REEP2
RENI	IFT46	REEP2
