source	dest	edges	cum_dist	avg_dist_per_edge
NTKL	WLS	6	0.522	0.087
NTKL	UBA1	4	0.371	0.09275
NTKL	STX5	6	0.537	0.0895
NTKL	GSTP1	3	0.337	0.112333333333333
NTKL	TLR3	5	0.285	0.057
NTKL	WNT3	6	0.488	0.0813333333333333
CALM	OR3A1	3	0.222	0.074
CALM	OVGP1	3	0.536	0.178666666666667
CALM	ZMYM6	5	0.323	0.0646
CALM	CHST7	4	0.293	0.07325
CALM	HAUS2	2	0.412	0.206
CALM	DDR2	4	0.408	0.102
CALM	BCL7C	2	0.251	0.1255
CALM	ARRB2	3	0.127	0.0423333333333333
CALM	ASH2L	3	0.766	0.255333333333333
CALM	ILKAP	3	0.577	0.192333333333333
CALM	SDC4	4	0.173	0.04325
CALM	UFM1	4	0.476	0.119
CALM	UCK2	3	0.247	0.0823333333333333
CALM	TRHDE	3	0.58	0.193333333333333
CALM	WLS	5	0.37	0.074
CALM	UBA1	3	0.251	0.0836666666666667
CALM	STX5	3	0.368	0.122666666666667
CALM	GSTP1	2	0.217	0.1085
CALM	TLR3	3	0.166	0.0553333333333333
CALM	WNT3	5	0.336	0.0672
ACHA4	OR3A1	4	0.423	0.10575
ACHA4	OVGP1	4	0.645	0.16125
ACHA4	ZMYM6	7	0.483	0.069
ACHA4	CHST7	6	0.39	0.065
ACHA4	HAUS2	6	0.611	0.101833333333333
ACHA4	DDR2	4	0.458	0.1145
ACHA4	BCL7C	6	0.597	0.0995
ACHA4	ARRB2	4	0.302	0.0755
ACHA4	ASH2L	6	0.72	0.12
ACHA4	ILKAP	4	0.731	0.18275
ACHA4	SDC4	4	0.264	0.066
ACHA4	UFM1	5	0.577	0.1154
ACHA4	UCK2	5	0.486	0.0972
ACHA4	TRHDE	6	0.833	0.138833333333333
ACHA4	WLS	6	0.545	0.0908333333333333
ACHA4	UBA1	4	0.354	0.0885
ACHA4	STX5	2	0.475	0.2375
ACHA4	GSTP1	3	0.371	0.123666666666667
ACHA4	TLR3	3	0.258	0.086
ACHA4	WNT3	6	0.511	0.0851666666666667
ANXA2	OR3A1	4	0.506	0.1265
ANXA2	OVGP1	2	0.533	0.2665
ANXA2	ZMYM6	4	0.342	0.0855
ANXA2	CHST7	3	0.35	0.116666666666667
ANXA2	HAUS2	4	0.774	0.1935
ANXA2	DDR2	3	0.465	0.155
ANXA2	BCL7C	3	0.557	0.185666666666667
ANXA2	ARRB2	3	0.33	0.11
ANXA2	ASH2L	5	0.685	0.137
ANXA2	ILKAP	4	0.787	0.19675
ANXA2	SDC4	3	0.252	0.084
ANXA2	UFM1	4	0.513	0.12825
ANXA2	UCK2	6	0.502	0.0836666666666667
ANXA2	TRHDE	5	0.795	0.159
ANXA2	WLS	5	0.573	0.1146
ANXA2	UBA1	4	0.416	0.104
ANXA2	STX5	4	0.427	0.10675
ANXA2	GSTP1	3	0.427	0.142333333333333
ANXA2	TLR3	3	0.311	0.103666666666667
ANXA2	WNT3	5	0.539	0.1078
AURKB	OR3A1	3	0.341	0.113666666666667
AURKB	OVGP1	5	0.618	0.1236
AURKB	ZMYM6	3	0.208	0.0693333333333333
AURKB	CHST7	4	0.289	0.07225
AURKB	HAUS2	2	0.285	0.1425
AURKB	DDR2	4	0.404	0.101
AURKB	BCL7C	4	0.496	0.124
AURKB	ARRB2	2	0.141	0.0705
AURKB	ASH2L	4	0.823	0.20575
AURKB	ILKAP	7	0.786	0.112285714285714
AURKB	SDC4	4	0.226	0.0565
AURKB	UFM1	6	0.515	0.0858333333333333
AURKB	UCK2	3	0.256	0.0853333333333333
AURKB	TRHDE	4	0.637	0.15925
AURKB	WLS	4	0.384	0.096
AURKB	UBA1	2	0.237	0.1185
AURKB	STX5	4	0.428	0.107
AURKB	GSTP1	2	0.865	0.4325
AURKB	TLR3	4	0.288	0.072
AURKB	WNT3	4	0.35	0.0875
GNAT3	OR3A1	4	0.303	0.07575
GNAT3	OVGP1	4	0.715	0.17875
GNAT3	ZMYM6	5	0.433	0.0866
GNAT3	CHST7	6	0.504	0.084
GNAT3	HAUS2	6	0.743	0.123833333333333
GNAT3	DDR2	6	0.619	0.103166666666667
GNAT3	BCL7C	6	0.711	0.1185
GNAT3	ARRB2	4	0.208	0.052
GNAT3	ASH2L	6	0.834	0.139
GNAT3	ILKAP	6	0.233	0.0388333333333333
GNAT3	SDC4	4	0.26	0.065
GNAT3	UFM1	5	0.674	0.1348
GNAT3	UCK2	4	0.328	0.082
GNAT3	TRHDE	4	0.528	0.132
GNAT3	WLS	6	0.451	0.0751666666666667
GNAT3	UBA1	6	0.451	0.0751666666666667
GNAT3	STX5	4	0.473	0.11825
GNAT3	GSTP1	5	0.917	0.1834
GNAT3	TLR3	3	0.307	0.102333333333333
GNAT3	WNT3	6	0.417	0.0695
CA2D1	OR3A1	5	0.694	0.1388
CA2D1	OVGP1	4	0.867	0.21675
CA2D1	ZMYM6	4	0.449	0.11225
CA2D1	CHST7	5	0.637	0.1274
CA2D1	HAUS2	5	0.876	0.1752
CA2D1	DDR2	4	0.552	0.138
CA2D1	BCL7C	5	0.844	0.1688
CA2D1	ARRB2	4	0.495	0.12375
CA2D1	ASH2L	5	0.967	0.1934
CA2D1	ILKAP	5	0.235	0.047
CA2D1	SDC4	4	0.477	0.11925
CA2D1	UFM1	6	0.838	0.139666666666667
CA2D1	UCK2	5	0.719	0.1438
CA2D1	TRHDE	5	0.588	0.1176
CA2D1	WLS	6	0.738	0.123
CA2D1	UBA1	5	0.718	0.1436
CA2D1	STX5	4	0.611	0.15275
CA2D1	GSTP1	4	0.893	0.22325
