source	destinations_disconnected_to
RL37	SUSD4
PARP1	SUSD4
RENR	SUSD4
ENPL	SUSD4
NR1I3	SUSD4
CAH1	SUSD4
SL9A7	SUSD4
ACM4	SUSD4
TOP1	SUSD4
DHB8	SUSD4
FABP6	SUSD4
GABR1	SUSD4
LY66C	SUSD4
GLNA	SUSD4
SCN1A	SUSD4
HDAC3	SUSD4
RENI	SUSD4
