source	destinations_disconnected_to
CASP8	TSSK2	PTCD2
SYRC	TSSK2	PTCD2
CP3A4	TSSK2	PTCD2
A4	TSSK2	PTCD2
MRP1	TSSK2	PTCD2
KCNN4	TSSK2	PTCD2
PDE7A	TSSK2	PTCD2
SCN4A	TSSK2	PTCD2
CACB1	TSSK2	PTCD2
DHI1	TSSK2	PTCD2
PDIA1	TSSK2	PTCD2
LRP2	TSSK2	PTCD2
ESR2	TSSK2	PTCD2
SCNNB	TSSK2	PTCD2
NMDE4	TSSK2	PTCD2
TY3H	TSSK2	PTCD2
SOAT1	TSSK2	PTCD2
NMD3A	TSSK2	PTCD2
ASM	TSSK2	PTCD2
S12A1	TSSK2	PTCD2
CP1A1	TSSK2	PTCD2
INSR2	TSSK2	PTCD2
NCOA1	TSSK2	PTCD2
TBE	TSSK2	PTCD2
ITAL	TSSK2	PTCD2
PPARG	TSSK2	PTCD2
GSK3B	TSSK2	PTCD2
CAC1I	TSSK2	PTCD2
THB	TSSK2	PTCD2
KLK3	TSSK2	PTCD2
GBRA2	TSSK2	PTCD2
TBB4B	TSSK2	PTCD2
DRD4	TSSK2	PTCD2
CLIC1	TSSK2	PTCD2
GBRE	TSSK2	PTCD2
RHOA	TSSK2	PTCD2
TERT	TSSK2	PTCD2
RL23A	TSSK2	PTCD2
KITH	TSSK2	PTCD2
HIF1A	TSSK2	PTCD2
TEBP	TSSK2	PTCD2
PERM	TSSK2	PTCD2
TYSY	TSSK2	PTCD2
PAR10	TSSK2	PTCD2
NNMT	TSSK2	PTCD2
RARB	TSSK2	PTCD2
PK3CG	TSSK2	PTCD2
CAC1C	TSSK2	PTCD2
PLPL9	TSSK2	PTCD2
OPRM	TSSK2	PTCD2
PLMN	TSSK2	PTCD2
ADA	TSSK2	PTCD2
TNNC1	TSSK2	PTCD2
J3KN87	TSSK2	PTCD2
GBRG2	TSSK2	PTCD2
FAD1	TSSK2	PTCD2
PDE1A	TSSK2	PTCD2
GLUC	TSSK2	PTCD2
EST1	TSSK2	PTCD2
P2RX2	TSSK2	PTCD2
NOS3	TSSK2	PTCD2
GSTP1	TSSK2	PTCD2
CAH7	TSSK2	PTCD2
IL6	TSSK2	PTCD2
UD13	TSSK2	PTCD2
PDE4A	TSSK2	PTCD2
CBPB2	TSSK2	PTCD2
KCJ11	TSSK2	PTCD2
SCN5A	TSSK2	PTCD2
CP21A	TSSK2	PTCD2
CFTR	TSSK2	PTCD2
ACM1	TSSK2	PTCD2
GRIA2	TSSK2	PTCD2
CPT2	TSSK2	PTCD2
COMT	TSSK2	PTCD2
P53	TSSK2	PTCD2
CNGA1	TSSK2	PTCD2
HDAC9	TSSK2	PTCD2
KCNQ1	TSSK2	PTCD2
PGH1	TSSK2	PTCD2
CP2R1	TSSK2	PTCD2
CAC1H	TSSK2	PTCD2
CAB45	TSSK2	PTCD2
CDK2	TSSK2	PTCD2
SC6A2	TSSK2	PTCD2
AK1C2	TSSK2	PTCD2
CA2D2	TSSK2	PTCD2
S22A8	TSSK2	PTCD2
EBP	TSSK2	PTCD2
NADC	TSSK2	PTCD2
5HT5A	TSSK2	PTCD2
AHR	TSSK2	PTCD2
HDAC6	TSSK2	PTCD2
MRP2	TSSK2	PTCD2
PDE4B	TSSK2	PTCD2
AA2AR	TSSK2	PTCD2
PDE7B	TSSK2	PTCD2
FAK2	TSSK2	PTCD2
CASP3	TSSK2	PTCD2
CATB	TSSK2	PTCD2
CAC1S	TSSK2	PTCD2
TA2R	TSSK2	PTCD2
TPMT	TSSK2	PTCD2
5HT1D	TSSK2	PTCD2
PIM1	TSSK2	PTCD2
AT1A1	TSSK2	PTCD2
MMP9	TSSK2	PTCD2
RL37	TSSK2	PTCD2
PARP1	TSSK2	PTCD2
RENR	TSSK2	PTCD2
ENPL	TSSK2	PTCD2
NR1I3	TSSK2	PTCD2
CAH1	TSSK2	PTCD2
SL9A7	TSSK2	PTCD2
ACM4	TSSK2	PTCD2
TOP1	TSSK2	PTCD2
DHB8	TSSK2	PTCD2
FABP6	TSSK2	PTCD2
GABR1	TSSK2	PTCD2
LY66C	TSSK2	PTCD2
GLNA	TSSK2	PTCD2
SCN1A	TSSK2	PTCD2
HDAC3	TSSK2	PTCD2
RENI	TSSK2	PTCD2
