source	destinations_disconnected_to
TF65	CEMP1	PALMD
KAP0	CEMP1	PALMD
PPIF	CEMP1	PALMD
RL15	CEMP1	PALMD
KCNH2	CEMP1	PALMD
PDE4C	CEMP1	PALMD
ABCC8	CEMP1	PALMD
J3KPA4	CEMP1	PALMD
HDAC8	CEMP1	PALMD
GBRD	CEMP1	PALMD
CCKN	CEMP1	PALMD
ADCY5	CEMP1	PALMD
ATPA	CEMP1	PALMD
ATPG	CEMP1	PALMD
CAC1G	CEMP1	PALMD
LDHB	CEMP1	PALMD
JUN	CEMP1	PALMD
CSF1R	CEMP1	PALMD
UD19	CEMP1	PALMD
ATF6A	CEMP1	PALMD
RL19	CEMP1	PALMD
ST17B	CEMP1	PALMD
ABL1	CEMP1	PALMD
PHOP1	CEMP1	PALMD
SC6A4	CEMP1	PALMD
S22A6	CEMP1	PALMD
GRIK2	CEMP1	PALMD
ACM3	CEMP1	PALMD
RYR1	CEMP1	PALMD
S23IP	CEMP1	PALMD
CRBN	CEMP1	PALMD
MUTA	CEMP1	PALMD
ARGI1	CEMP1	PALMD
AA3R	CEMP1	PALMD
GBRA5	CEMP1	PALMD
CAH6	CEMP1	PALMD
FAK1	CEMP1	PALMD
SCNND	CEMP1	PALMD
CASP8	CEMP1	PALMD
SYRC	CEMP1	PALMD
CP3A4	CEMP1	PALMD
A4	CEMP1	PALMD
MRP1	CEMP1	PALMD
KCNN4	CEMP1	PALMD
PDE7A	CEMP1	PALMD
SCN4A	CEMP1	PALMD
CACB1	CEMP1	PALMD
DHI1	CEMP1	PALMD
PDIA1	CEMP1	PALMD
LRP2	CEMP1	PALMD
ESR2	CEMP1	PALMD
SCNNB	CEMP1	PALMD
NMDE4	CEMP1	PALMD
TY3H	CEMP1	PALMD
SOAT1	CEMP1	PALMD
NMD3A	CEMP1	PALMD
ASM	CEMP1	PALMD
S12A1	CEMP1	PALMD
CP1A1	CEMP1	PALMD
INSR2	CEMP1	PALMD
NCOA1	CEMP1	PALMD
TBE	CEMP1	PALMD
ITAL	CEMP1	PALMD
PPARG	CEMP1	PALMD
GSK3B	CEMP1	PALMD
CAC1I	CEMP1	PALMD
THB	CEMP1	PALMD
KLK3	CEMP1	PALMD
GBRA2	CEMP1	PALMD
TBB4B	CEMP1	PALMD
DRD4	CEMP1	PALMD
CLIC1	CEMP1	PALMD
GBRE	CEMP1	PALMD
RHOA	CEMP1	PALMD
TERT	CEMP1	PALMD
RL23A	CEMP1	PALMD
KITH	CEMP1	PALMD
HIF1A	CEMP1	PALMD
TEBP	CEMP1	PALMD
PERM	CEMP1	PALMD
TYSY	CEMP1	PALMD
PAR10	CEMP1	PALMD
NNMT	CEMP1	PALMD
RARB	CEMP1	PALMD
PK3CG	CEMP1	PALMD
CAC1C	CEMP1	PALMD
PLPL9	CEMP1	PALMD
OPRM	CEMP1	PALMD
PLMN	CEMP1	PALMD
ADA	CEMP1	PALMD
TNNC1	CEMP1	PALMD
J3KN87	CEMP1	PALMD
GBRG2	CEMP1	PALMD
FAD1	CEMP1	PALMD
PDE1A	CEMP1	PALMD
GLUC	CEMP1	PALMD
EST1	CEMP1	PALMD
P2RX2	CEMP1	PALMD
NOS3	CEMP1	PALMD
GSTP1	CEMP1	PALMD
CAH7	CEMP1	PALMD
IL6	CEMP1	PALMD
UD13	CEMP1	PALMD
PDE4A	CEMP1	PALMD
CBPB2	CEMP1	PALMD
KCJ11	CEMP1	PALMD
SCN5A	CEMP1	PALMD
CP21A	CEMP1	PALMD
CFTR	CEMP1	PALMD
ACM1	CEMP1	PALMD
GRIA2	CEMP1	PALMD
CPT2	CEMP1	PALMD
COMT	CEMP1	PALMD
P53	CEMP1	PALMD
CNGA1	CEMP1	PALMD
HDAC9	CEMP1	PALMD
KCNQ1	CEMP1	PALMD
PGH1	CEMP1	PALMD
CP2R1	CEMP1	PALMD
CAC1H	CEMP1	PALMD
CAB45	CEMP1	PALMD
CDK2	CEMP1	PALMD
SC6A2	CEMP1	PALMD
AK1C2	CEMP1	PALMD
CA2D2	CEMP1	PALMD
S22A8	CEMP1	PALMD
EBP	CEMP1	PALMD
NADC	CEMP1	PALMD
5HT5A	CEMP1	PALMD
AHR	CEMP1	PALMD
HDAC6	CEMP1	PALMD
MRP2	CEMP1	PALMD
PDE4B	CEMP1	PALMD
AA2AR	CEMP1	PALMD
PDE7B	CEMP1	PALMD
FAK2	CEMP1	PALMD
CASP3	CEMP1	PALMD
CATB	CEMP1	PALMD
CAC1S	CEMP1	PALMD
TA2R	CEMP1	PALMD
TPMT	CEMP1	PALMD
5HT1D	CEMP1	PALMD
PIM1	CEMP1	PALMD
AT1A1	CEMP1	PALMD
MMP9	CEMP1	PALMD
RL37	CEMP1	PALMD
PARP1	CEMP1	PALMD
RENR	CEMP1	PALMD
ENPL	CEMP1	PALMD
NR1I3	CEMP1	PALMD
CAH1	CEMP1	PALMD
SL9A7	CEMP1	PALMD
ACM4	CEMP1	PALMD
TOP1	CEMP1	PALMD
DHB8	CEMP1	PALMD
FABP6	CEMP1	PALMD
GABR1	CEMP1	PALMD
LY66C	CEMP1	PALMD
GLNA	CEMP1	PALMD
SCN1A	CEMP1	PALMD
HDAC3	CEMP1	PALMD
RENI	CEMP1	PALMD
