source	destinations_disconnected_to
PA24A	ERMP1	ZNF43	PRR7
HYES	ERMP1	ZNF43	PRR7
CP2C8	ERMP1	ZNF43	PRR7
CAC1D	ERMP1	ZNF43	PRR7
SCNNA	ERMP1	ZNF43	PRR7
DRD3	ERMP1	ZNF43	PRR7
IOD1	ERMP1	ZNF43	PRR7
AAKB1	ERMP1	ZNF43	PRR7
ARY2	ERMP1	ZNF43	PRR7
DOPO	ERMP1	ZNF43	PRR7
PDE3A	ERMP1	ZNF43	PRR7
TR10B	ERMP1	ZNF43	PRR7
ADA1B	ERMP1	ZNF43	PRR7
C9JK77	ERMP1	ZNF43	PRR7
MYLK3	ERMP1	ZNF43	PRR7
PDE1B	ERMP1	ZNF43	PRR7
MYH9	ERMP1	ZNF43	PRR7
TRI15	ERMP1	ZNF43	PRR7
HPRT	ERMP1	ZNF43	PRR7
ADRB2	ERMP1	ZNF43	PRR7
LIPL	ERMP1	ZNF43	PRR7
MDR1	ERMP1	ZNF43	PRR7
5HT1A	ERMP1	ZNF43	PRR7
CP19A	ERMP1	ZNF43	PRR7
ARY1	ERMP1	ZNF43	PRR7
5HT2A	ERMP1	ZNF43	PRR7
G6PD	ERMP1	ZNF43	PRR7
PYRD	ERMP1	ZNF43	PRR7
GBRB2	ERMP1	ZNF43	PRR7
IKBA	ERMP1	ZNF43	PRR7
THRB	ERMP1	ZNF43	PRR7
GPX1	ERMP1	ZNF43	PRR7
TNNC2	ERMP1	ZNF43	PRR7
S22AB	ERMP1	ZNF43	PRR7
PDE5A	ERMP1	ZNF43	PRR7
TGFB1	ERMP1	ZNF43	PRR7
TOP2A	ERMP1	ZNF43	PRR7
RL23	ERMP1	ZNF43	PRR7
PDK3	ERMP1	ZNF43	PRR7
EDNRA	ERMP1	ZNF43	PRR7
TF65	ERMP1	ZNF43	PRR7
KAP0	ERMP1	ZNF43	PRR7
PPIF	ERMP1	ZNF43	PRR7
RL15	ERMP1	ZNF43	PRR7
KCNH2	ERMP1	ZNF43	PRR7
PDE4C	ERMP1	ZNF43	PRR7
ABCC8	ERMP1	ZNF43	PRR7
J3KPA4	ERMP1	ZNF43	PRR7
HDAC8	ERMP1	ZNF43	PRR7
