source	destinations_disconnected_to
LDHB	TOR3A	AFF3
JUN	TOR3A	AFF3
CSF1R	TOR3A	AFF3
UD19	TOR3A	AFF3
ATF6A	TOR3A	AFF3
RL19	TOR3A	AFF3
ST17B	TOR3A	AFF3
ABL1	TOR3A	AFF3
PHOP1	TOR3A	AFF3
SC6A4	TOR3A	AFF3
S22A6	TOR3A	AFF3
GRIK2	TOR3A	AFF3
ACM3	TOR3A	AFF3
RYR1	TOR3A	AFF3
S23IP	TOR3A	AFF3
CRBN	TOR3A	AFF3
MUTA	TOR3A	AFF3
ARGI1	TOR3A	AFF3
AA3R	TOR3A	AFF3
GBRA5	TOR3A	AFF3
CAH6	TOR3A	AFF3
FAK1	TOR3A	AFF3
SCNND	TOR3A	AFF3
CASP8	TOR3A	AFF3
SYRC	TOR3A	AFF3
CP3A4	TOR3A	AFF3
A4	TOR3A	AFF3
MRP1	TOR3A	AFF3
KCNN4	TOR3A	AFF3
PDE7A	TOR3A	AFF3
SCN4A	TOR3A	AFF3
CACB1	TOR3A	AFF3
DHI1	TOR3A	AFF3
PDIA1	TOR3A	AFF3
LRP2	TOR3A	AFF3
ESR2	TOR3A	AFF3
SCNNB	TOR3A	AFF3
NMDE4	TOR3A	AFF3
TY3H	TOR3A	AFF3
SOAT1	TOR3A	AFF3
NMD3A	TOR3A	AFF3
ASM	TOR3A	AFF3
S12A1	TOR3A	AFF3
CP1A1	TOR3A	AFF3
INSR2	TOR3A	AFF3
NCOA1	TOR3A	AFF3
TBE	TOR3A	AFF3
ITAL	TOR3A	AFF3
PPARG	TOR3A	AFF3
GSK3B	TOR3A	AFF3
CAC1I	TOR3A	AFF3
THB	TOR3A	AFF3
KLK3	TOR3A	AFF3
GBRA2	TOR3A	AFF3
TBB4B	TOR3A	AFF3
DRD4	TOR3A	AFF3
CLIC1	TOR3A	AFF3
GBRE	TOR3A	AFF3
RHOA	TOR3A	AFF3
TERT	TOR3A	AFF3
RL23A	TOR3A	AFF3
KITH	TOR3A	AFF3
HIF1A	TOR3A	AFF3
TEBP	TOR3A	AFF3
PERM	TOR3A	AFF3
TYSY	TOR3A	AFF3
PAR10	TOR3A	AFF3
NNMT	TOR3A	AFF3
RARB	TOR3A	AFF3
PK3CG	TOR3A	AFF3
CAC1C	TOR3A	AFF3
PLPL9	TOR3A	AFF3
OPRM	TOR3A	AFF3
PLMN	TOR3A	AFF3
ADA	TOR3A	AFF3
TNNC1	TOR3A	AFF3
J3KN87	TOR3A	AFF3
GBRG2	TOR3A	AFF3
FAD1	TOR3A	AFF3
PDE1A	TOR3A	AFF3
GLUC	TOR3A	AFF3
EST1	TOR3A	AFF3
P2RX2	TOR3A	AFF3
NOS3	TOR3A	AFF3
GSTP1	TOR3A	AFF3
CAH7	TOR3A	AFF3
IL6	TOR3A	AFF3
UD13	TOR3A	AFF3
PDE4A	TOR3A	AFF3
CBPB2	TOR3A	AFF3
KCJ11	TOR3A	AFF3
SCN5A	TOR3A	AFF3
CP21A	TOR3A	AFF3
CFTR	TOR3A	AFF3
ACM1	TOR3A	AFF3
GRIA2	TOR3A	AFF3
CPT2	TOR3A	AFF3
COMT	TOR3A	AFF3
P53	TOR3A	AFF3
CNGA1	TOR3A	AFF3
HDAC9	TOR3A	AFF3
KCNQ1	TOR3A	AFF3
PGH1	TOR3A	AFF3
CP2R1	TOR3A	AFF3
CAC1H	TOR3A	AFF3
CAB45	TOR3A	AFF3
CDK2	TOR3A	AFF3
SC6A2	TOR3A	AFF3
AK1C2	TOR3A	AFF3
CA2D2	TOR3A	AFF3
S22A8	TOR3A	AFF3
EBP	TOR3A	AFF3
NADC	TOR3A	AFF3
5HT5A	TOR3A	AFF3
AHR	TOR3A	AFF3
HDAC6	TOR3A	AFF3
MRP2	TOR3A	AFF3
PDE4B	TOR3A	AFF3
AA2AR	TOR3A	AFF3
PDE7B	TOR3A	AFF3
FAK2	TOR3A	AFF3
CASP3	TOR3A	AFF3
CATB	TOR3A	AFF3
CAC1S	TOR3A	AFF3
TA2R	TOR3A	AFF3
TPMT	TOR3A	AFF3
5HT1D	TOR3A	AFF3
PIM1	TOR3A	AFF3
AT1A1	TOR3A	AFF3
MMP9	TOR3A	AFF3
RL37	TOR3A	AFF3
PARP1	TOR3A	AFF3
RENR	TOR3A	AFF3
ENPL	TOR3A	AFF3
NR1I3	TOR3A	AFF3
CAH1	TOR3A	AFF3
SL9A7	TOR3A	AFF3
ACM4	TOR3A	AFF3
TOP1	TOR3A	AFF3
DHB8	TOR3A	AFF3
FABP6	TOR3A	AFF3
GABR1	TOR3A	AFF3
LY66C	TOR3A	AFF3
GLNA	TOR3A	AFF3
SCN1A	TOR3A	AFF3
HDAC3	TOR3A	AFF3
RENI	TOR3A	AFF3
