source	destinations_disconnected_to
THRB	SOX11	BEX4
GPX1	SOX11	BEX4
TNNC2	SOX11	BEX4
S22AB	SOX11	BEX4
PDE5A	SOX11	BEX4
TGFB1	SOX11	BEX4
TOP2A	SOX11	BEX4
RL23	SOX11	BEX4
PDK3	SOX11	BEX4
EDNRA	SOX11	BEX4
TF65	SOX11	BEX4
KAP0	SOX11	BEX4
PPIF	SOX11	BEX4
RL15	SOX11	BEX4
KCNH2	SOX11	BEX4
PDE4C	SOX11	BEX4
ABCC8	SOX11	BEX4
J3KPA4	SOX11	BEX4
HDAC8	SOX11	BEX4
GBRD	SOX11	BEX4
CCKN	SOX11	BEX4
ADCY5	SOX11	BEX4
ATPA	SOX11	BEX4
ATPG	SOX11	BEX4
CAC1G	SOX11	BEX4
LDHB	SOX11	BEX4
JUN	SOX11	BEX4
CSF1R	SOX11	BEX4
UD19	SOX11	BEX4
ATF6A	SOX11	BEX4
RL19	SOX11	BEX4
ST17B	SOX11	BEX4
ABL1	SOX11	BEX4
PHOP1	SOX11	BEX4
SC6A4	SOX11	BEX4
S22A6	SOX11	BEX4
GRIK2	SOX11	BEX4
ACM3	SOX11	BEX4
RYR1	SOX11	BEX4
S23IP	SOX11	BEX4
CRBN	SOX11	BEX4
MUTA	SOX11	BEX4
ARGI1	SOX11	BEX4
AA3R	SOX11	BEX4
GBRA5	SOX11	BEX4
CAH6	SOX11	BEX4
FAK1	SOX11	BEX4
SCNND	SOX11	BEX4
CASP8	SOX11	BEX4
SYRC	SOX11	BEX4
CP3A4	SOX11	BEX4
A4	SOX11	BEX4
MRP1	SOX11	BEX4
KCNN4	SOX11	BEX4
PDE7A	SOX11	BEX4
SCN4A	SOX11	BEX4
CACB1	SOX11	BEX4
DHI1	SOX11	BEX4
PDIA1	SOX11	BEX4
LRP2	SOX11	BEX4
ESR2	SOX11	BEX4
SCNNB	SOX11	BEX4
NMDE4	SOX11	BEX4
TY3H	SOX11	BEX4
SOAT1	SOX11	BEX4
