source	destinations_disconnected_to
ABCC8	CRLF3	TDRKH
J3KPA4	CRLF3	TDRKH
HDAC8	CRLF3	TDRKH
GBRD	CRLF3	TDRKH
CCKN	CRLF3	TDRKH
ADCY5	CRLF3	TDRKH
ATPA	CRLF3	TDRKH
ATPG	CRLF3	TDRKH
CAC1G	CRLF3	TDRKH
LDHB	CRLF3	TDRKH
JUN	CRLF3	TDRKH
CSF1R	CRLF3	TDRKH
UD19	CRLF3	TDRKH
ATF6A	CRLF3	TDRKH
RL19	CRLF3	TDRKH
ST17B	CRLF3	TDRKH
ABL1	CRLF3	TDRKH
PHOP1	CRLF3	TDRKH
SC6A4	CRLF3	TDRKH
S22A6	CRLF3	TDRKH
GRIK2	CRLF3	TDRKH
ACM3	CRLF3	TDRKH
RYR1	CRLF3	TDRKH
S23IP	CRLF3	TDRKH
CRBN	CRLF3	TDRKH
MUTA	CRLF3	TDRKH
ARGI1	CRLF3	TDRKH
AA3R	CRLF3	TDRKH
GBRA5	CRLF3	TDRKH
CAH6	CRLF3	TDRKH
FAK1	CRLF3	TDRKH
SCNND	CRLF3	TDRKH
CASP8	CRLF3	TDRKH
SYRC	CRLF3	TDRKH
CP3A4	CRLF3	TDRKH
A4	CRLF3	TDRKH
MRP1	CRLF3	TDRKH
KCNN4	CRLF3	TDRKH
PDE7A	CRLF3	TDRKH
SCN4A	CRLF3	TDRKH
CACB1	CRLF3	TDRKH
DHI1	CRLF3	TDRKH
PDIA1	CRLF3	TDRKH
LRP2	CRLF3	TDRKH
ESR2	CRLF3	TDRKH
SCNNB	CRLF3	TDRKH
NMDE4	CRLF3	TDRKH
TY3H	CRLF3	TDRKH
SOAT1	CRLF3	TDRKH
NMD3A	CRLF3	TDRKH
ASM	CRLF3	TDRKH
S12A1	CRLF3	TDRKH
CP1A1	CRLF3	TDRKH
INSR2	CRLF3	TDRKH
NCOA1	CRLF3	TDRKH
TBE	CRLF3	TDRKH
ITAL	CRLF3	TDRKH
PPARG	CRLF3	TDRKH
GSK3B	CRLF3	TDRKH
