source	dest	edges	cum_dist	avg_dist_per_edge
CDK6	PTPRG	5	0.517	0.1034
CDK6	LAGE3	4	0.94	0.235
CDK6	RBM22	4	0.497	0.12425
CDK6	ASXL1	4	0.087	0.02175
CDK6	VGLL3	5	0.308	0.0616
CDK6	SSX1	6	0.868	0.144666666666667
CDK6	ACLY	4	0.182	0.0455
CDK6	BTK	6	0.829	0.138166666666667
5HT7R	SFPQ	3	0.559	0.186333333333333
5HT7R	JPH3	4	0.82	0.205
5HT7R	CDHR1	5	0.501	0.1002
5HT7R	APOL2	5	0.649	0.1298
5HT7R	KLK5	6	0.783	0.1305
5HT7R	CYR61	3	0.328	0.109333333333333
5HT7R	ALX1	4	0.63	0.1575
5HT7R	SNX27	5	0.897	0.1794
5HT7R	PTPRG	3	0.599	0.199666666666667
5HT7R	LAGE3	5	0.947	0.1894
5HT7R	RBM22	5	0.926	0.1852
5HT7R	ASXL1	5	0.36	0.072
5HT7R	VGLL3	6	0.581	0.0968333333333333
5HT7R	SSX1	6	1.034	0.172333333333333
5HT7R	ACLY	3	0.307	0.102333333333333
5HT7R	BTK	5	0.721	0.1442
ADRB1	SFPQ	5	0.365	0.073
ADRB1	JPH3	6	0.781	0.130166666666667
ADRB1	CDHR1	5	0.465	0.093
ADRB1	APOL2	5	0.613	0.1226
ADRB1	KLK5	5	0.695	0.139
ADRB1	CYR61	3	0.292	0.0973333333333333
ADRB1	ALX1	4	0.594	0.1485
ADRB1	SNX27	5	0.671	0.1342
ADRB1	PTPRG	3	0.563	0.187666666666667
ADRB1	LAGE3	4	0.94	0.235
ADRB1	RBM22	7	0.732	0.104571428571429
ADRB1	ASXL1	5	0.324	0.0648
ADRB1	VGLL3	6	0.545	0.0908333333333333
ADRB1	SSX1	6	0.998	0.166333333333333
ADRB1	ACLY	3	0.271	0.0903333333333333
ADRB1	BTK	2	0.62	0.31
CP11A	SFPQ	3	0.286	0.0953333333333333
CP11A	JPH3	4	0.728	0.182
CP11A	CDHR1	5	0.588	0.1176
CP11A	APOL2	4	0.605	0.15125
CP11A	KLK5	6	0.74	0.123333333333333
CP11A	CYR61	3	0.415	0.138333333333333
CP11A	ALX1	5	0.612	0.1224
CP11A	SNX27	4	0.773	0.19325
CP11A	PTPRG	6	0.747	0.1245
CP11A	LAGE3	6	0.949	0.158166666666667
CP11A	RBM22	5	0.653	0.1306
CP11A	ASXL1	4	0.26	0.065
CP11A	VGLL3	6	0.538	0.0896666666666667
CP11A	SSX1	4	1.001	0.25025
CP11A	ACLY	4	0.411	0.10275
CP11A	BTK	6	0.756	0.126
CSK	SFPQ	4	0.274	0.0685
CSK	JPH3	5	0.736	0.1472
CSK	CDHR1	5	0.373	0.0746
CSK	APOL2	4	0.485	0.12125
CSK	KLK5	5	0.619	0.1238
CSK	CYR61	3	0.2	0.0666666666666667
CSK	ALX1	4	0.491	0.12275
CSK	SNX27	3	0.505	0.168333333333333
CSK	PTPRG	4	0.608	0.152
CSK	LAGE3	4	0.924	0.231
CSK	RBM22	6	0.641	0.106833333333333
CSK	ASXL1	4	0.196	0.049
CSK	VGLL3	5	0.417	0.0834
CSK	SSX1	6	0.891	0.1485
CSK	ACLY	4	0.291	0.07275
CSK	BTK	2	0.604	0.302
5HT3A	SFPQ	6	0.84	0.14
5HT3A	JPH3	4	0.977	0.24425
5HT3A	CDHR1	5	0.85	0.17
5HT3A	APOL2	5	0.998	0.1996
5HT3A	KLK5	3	0.812	0.270666666666667
5HT3A	CYR61	3	0.677	0.225666666666667
5HT3A	ALX1	3	0.769	0.256333333333333
5HT3A	SNX27	4	0.947	0.23675
5HT3A	PTPRG	3	0.691	0.230333333333333
5HT3A	LAGE3	4	0.628	0.157
5HT3A	RBM22	6	0.847	0.141166666666667
5HT3A	ASXL1	3	0.636	0.212
5HT3A	VGLL3	5	0.681	0.1362
5HT3A	SSX1	6	1.143	0.1905
5HT3A	ACLY	4	0.578	0.1445
5HT3A	BTK	5	0.849	0.1698
AT12A	SFPQ	5	0.571	0.1142
AT12A	JPH3	4	0.811	0.20275
AT12A	CDHR1	5	0.659	0.1318
AT12A	APOL2	4	0.755	0.18875
AT12A	KLK5	4	0.833	0.20825
AT12A	CYR61	3	0.486	0.162
AT12A	ALX1	4	0.761	0.19025
AT12A	SNX27	4	0.802	0.2005
AT12A	PTPRG	4	0.886	0.2215
AT12A	LAGE3	6	0.946	0.157666666666667
AT12A	RBM22	7	0.938	0.134
AT12A	ASXL1	4	0.466	0.1165
AT12A	VGLL3	5	0.687	0.1374
AT12A	SSX1	6	1.183	0.197166666666667
AT12A	ACLY	4	0.561	0.14025
